CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||B3416,E21,BS62,E64,E6696,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:00:07 AM
CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||B3416,E21,BS62,E64,E6696,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:00:07 AM
CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||B3416,E21,BS62,E64,E6696,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:00:13 AM
CAD_U|CASLU|B3416|ONS|20120503234252|A-22B|12003870|FSR|CASLU2012003413//5/4/2012 12:02:55 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//5/4/2012 12:23:11 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//5/4/2012 12:23:11 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//5/4/2012 12:23:11 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//5/4/2012 12:23:12 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//5/4/2012 12:23:12 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//5/4/2012 12:23:12 AM
CAD_U|CABEU|E4677|AIQ|20120419110154|BEU-30|||//5/4/2012 12:23:13 AM
CAD_U|CABEU|E4677|AIQ|20120419110154|BEU-30|||//5/4/2012 12:23:13 AM
CAD_U|CABEU|E4677|AIQ|20120419110154|BEU-30|||//5/4/2012 12:23:13 AM
CAD_U|CABEU|E4679|AIQ|20120419110155|BEU-30|||//5/4/2012 12:23:14 AM
CAD_U|CABEU|E4679|AIQ|20120419110155|BEU-30|||//5/4/2012 12:23:14 AM
CAD_U|CABEU|E4679|AIQ|20120419110155|BEU-30|||//5/4/2012 12:23:14 AM
CAD_U|CABEU|E4681|AIQ|20120419110157|BEU-30|||//5/4/2012 12:23:15 AM
CAD_U|CABEU|E4681|AIQ|20120419110157|BEU-30|||//5/4/2012 12:23:15 AM
CAD_U|CABEU|E4681|AIQ|20120419110157|BEU-30|||//5/4/2012 12:23:15 AM
CAD_U|CABEU|E4684|AIQ|20120419112239|BEU-35|||//5/4/2012 12:23:17 AM
CAD_U|CABEU|E4684|AIQ|20120419112239|BEU-35|||//5/4/2012 12:23:17 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//5/4/2012 12:23:18 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//5/4/2012 12:23:18 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//5/4/2012 12:23:18 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//5/4/2012 12:23:19 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//5/4/2012 12:23:19 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//5/4/2012 12:23:19 AM
CAD_U|CABEU|E4694|AIQ|20120419110200|BEU-30|||//5/4/2012 12:23:20 AM
CAD_U|CABEU|E4694|AIQ|20120419110200|BEU-30|||//5/4/2012 12:23:20 AM
CAD_U|CABEU|GAB1|AIQ|20120419112920|BEU-30|||//5/4/2012 12:23:21 AM
CAD_U|CABEU|GAB1|AIQ|20120419112920|BEU-30|||//5/4/2012 12:23:21 AM
CAD_U|CABEU|GAB1|AIQ|20120419112920|BEU-30|||//5/4/2012 12:23:21 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//5/4/2012 12:23:22 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//5/4/2012 12:23:22 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//5/4/2012 12:23:22 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//5/4/2012 12:23:23 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//5/4/2012 12:23:23 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//5/4/2012 12:23:23 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//5/4/2012 12:23:24 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//5/4/2012 12:23:24 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//5/4/2012 12:23:24 AM
CAD_U|CAFKU|E4363|AIQ|20120410101020|FKU-2|||//5/4/2012 12:23:25 AM
CAD_U|CAFKU|E4363|AIQ|20120410101020|FKU-2|||//5/4/2012 12:23:25 AM
CAD_U|CAFKU|E4363|AIQ|20120410101020|FKU-2|||//5/4/2012 12:23:25 AM
CAD_U|CAFKU|E4364|AIQ|20120109174519|FKU-1A|||//5/4/2012 12:23:26 AM
CAD_U|CAFKU|E4364|AIQ|20120109174519|FKU-1A|||//5/4/2012 12:23:27 AM
CAD_U|CAFKU|E4368|AIQ|20120410113147|FKU-2|||//5/4/2012 12:23:28 AM
CAD_U|CAFKU|E4368|AIQ|20120410113147|FKU-2|||//5/4/2012 12:23:28 AM
CAD_U|CAFKU|E4368|AIQ|20120410113147|FKU-2|||//5/4/2012 12:23:28 AM
CAD_U|CAFKU|E4373|AIQ|20120228093045|FKU-2|||//5/4/2012 12:23:29 AM
CAD_U|CAFKU|E4373|AIQ|20120228093045|FKU-2|||//5/4/2012 12:23:29 AM
CAD_U|CAFKU|E4373|AIQ|20120228093045|FKU-2|||//5/4/2012 12:23:29 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//5/4/2012 12:23:30 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//5/4/2012 12:23:30 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//5/4/2012 12:23:30 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//5/4/2012 12:23:31 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//5/4/2012 12:23:31 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//5/4/2012 12:23:31 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//5/4/2012 12:23:32 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//5/4/2012 12:23:32 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//5/4/2012 12:23:32 AM
CAD_U|CACDF|T78|AIQ|20120419100925|FAAB|||//5/4/2012 12:23:33 AM
CAD_U|CACDF|T78|AIQ|20120419100925|FAAB|||//5/4/2012 12:23:33 AM
CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||E21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:24:28 AM
CAD_U|CASLC|BS62|AIQ|20120504002429|A-24C|||//5/4/2012 12:24:28 AM
CAD_E|CASLU12003870//5/4/2012 12:37:18 AM
CAD_U|CASLC|E21|AIQ|20120504003719|A-22A|||//5/4/2012 12:37:18 AM
