CAD_U|CAPSM|E63|ONS|20130326235027|A-32L|13002548|MED|CASLU2013002239//3/27/2013 12:10:31 AM
CAD_U|CAFKU|E4353|AIQ|20130321080737|FKU-2|||//3/27/2013 12:28:21 AM
CAD_U|CAFKU|E4353|AIQ|20130321080737|FKU-2|||//3/27/2013 12:28:21 AM
CAD_U|CAFKU|E4353|AIQ|20130321080737|FKU-2|||//3/27/2013 12:28:21 AM
CAD_U|CAFKU|MIR2|AIQ|20130325094131|FKU-2|||//3/27/2013 12:28:22 AM
CAD_U|CAFKU|MIR2|AIQ|20130325094131|FKU-2|||//3/27/2013 12:28:22 AM
CAD_U|CAFKU|MIR2|AIQ|20130325094131|FKU-2|||//3/27/2013 12:28:22 AM
CAD_U|CAFKU|E4354|AIQ|20130301093917|FKU-1A|||//3/27/2013 12:28:22 AM
CAD_U|CAFKU|E4354|AIQ|20130301093917|FKU-1A|||//3/27/2013 12:28:22 AM
CAD_U|CAFKU|MIR3|AIQ|20130318082617|FKU-1A|||//3/27/2013 12:28:23 AM
CAD_U|CAFKU|MIR3|AIQ|20130318082617|FKU-1A|||//3/27/2013 12:28:23 AM
CAD_U|CAFKU|MIR3|AIQ|20130318082617|FKU-1A|||//3/27/2013 12:28:23 AM
CAD_U|CAFKU|E4361|AIQ|20130325105546|FKU-1A|||//3/27/2013 12:28:23 AM
CAD_U|CAFKU|E4361|AIQ|20130325105546|FKU-1A|||//3/27/2013 12:28:24 AM
CAD_U|CAFKU|E4361|AIQ|20130325105546|FKU-1A|||//3/27/2013 12:28:24 AM
CAD_U|CAFKU|MIR4|AIQ|20130325094137|FKU-2|||//3/27/2013 12:28:24 AM
CAD_U|CAFKU|MIR4|AIQ|20130325094137|FKU-2|||//3/27/2013 12:28:24 AM
CAD_U|CAFKU|MIR4|AIQ|20130325094137|FKU-2|||//3/27/2013 12:28:24 AM
CAD_U|CAFKU|E4362|AIQ|20130325105544|FKU-2|||//3/27/2013 12:28:25 AM
CAD_U|CAFKU|E4362|AIQ|20130325105544|FKU-2|||//3/27/2013 12:28:25 AM
CAD_U|CAFKU|E4362|AIQ|20130325105544|FKU-2|||//3/27/2013 12:28:25 AM
CAD_U|CAFKU|E4363|AIQ|20130325105550|FKU-2|||//3/27/2013 12:28:26 AM
CAD_U|CAFKU|E4363|AIQ|20130325105550|FKU-2|||//3/27/2013 12:28:26 AM
CAD_U|CAFKU|E4363|AIQ|20130325105550|FKU-2|||//3/27/2013 12:28:26 AM
CAD_U|CAFKU|E4368|AIQ|20130325105549|FKU-2|||//3/27/2013 12:28:27 AM
CAD_U|CAFKU|E4368|AIQ|20130325105549|FKU-2|||//3/27/2013 12:28:27 AM
CAD_U|CAFKU|E4368|AIQ|20130325105549|FKU-2|||//3/27/2013 12:28:27 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//3/27/2013 12:28:28 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//3/27/2013 12:28:28 AM
