CAD_U|CABEU|HLT406|AIQ|20140406094918|BEU-30|||//4/18/2014 1:34:37 AM
CAD_U|CABEU|HLT406|AIQ|20140406094918|BEU-30|||//4/18/2014 1:34:37 AM
CAD_U|CABEU|HLT406|AIQ|20140406094918|BEU-30|||//4/18/2014 1:34:37 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/18/2014 1:34:38 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/18/2014 1:34:38 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/18/2014 1:34:38 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/18/2014 1:34:40 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/18/2014 1:34:40 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/18/2014 1:34:40 AM
CAD_U|CAFKU|E4354|AIQ|20140330102106|FKU-1A|||//4/18/2014 1:34:41 AM
CAD_U|CAFKU|E4354|AIQ|20140330102106|FKU-1A|||//4/18/2014 1:34:41 AM
CAD_U|CAFKU|E4361|AIQ|20140407064119|FKU-1A|||//4/18/2014 1:34:42 AM
CAD_U|CAFKU|E4361|AIQ|20140407064119|FKU-1A|||//4/18/2014 1:34:42 AM
CAD_U|CAFKU|E4361|AIQ|20140407064119|FKU-1A|||//4/18/2014 1:34:42 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/18/2014 1:34:43 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/18/2014 1:34:43 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/18/2014 1:34:43 AM
CAD_U|CAFKU|E4363|AIQ|20140417161233|FKU-2|||//4/18/2014 1:34:45 AM
CAD_U|CAFKU|E4363|AIQ|20140417161233|FKU-2|||//4/18/2014 1:34:45 AM
CAD_U|CAFKU|E4363|AIQ|20140417161233|FKU-2|||//4/18/2014 1:34:45 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//4/18/2014 1:34:46 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//4/18/2014 1:34:46 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//4/18/2014 1:34:46 AM
CAD_U|CAFKU|E4373|AIQ|20140407064153|FKU-2|||//4/18/2014 1:34:47 AM
CAD_U|CAFKU|E4373|AIQ|20140407064153|FKU-2|||//4/18/2014 1:34:47 AM
CAD_U|CAFKU|E4373|AIQ|20140407064153|FKU-2|||//4/18/2014 1:34:47 AM
CAD_U|CAFKU|MIR1|AIQ|20140407080243|FKU-2|||//4/18/2014 1:34:48 AM
CAD_U|CAFKU|MIR1|AIQ|20140407080243|FKU-2|||//4/18/2014 1:34:48 AM
CAD_U|CAFKU|MIR1|AIQ|20140407080243|FKU-2|||//4/18/2014 1:34:48 AM
CAD_U|CAFKU|MIR2|AIQ|20140414064414|FKU-2|||//4/18/2014 1:34:49 AM
CAD_U|CAFKU|MIR2|AIQ|20140414064414|FKU-2|||//4/18/2014 1:34:49 AM
CAD_U|CAFKU|MIR2|AIQ|20140414064414|FKU-2|||//4/18/2014 1:34:49 AM
CAD_U|CAFKU|MIR3|AIQ|20140414064416|FKU-1A|||//4/18/2014 1:34:51 AM
CAD_U|CAFKU|MIR3|AIQ|20140414064416|FKU-1A|||//4/18/2014 1:34:51 AM
CAD_U|CAFKU|MIR3|AIQ|20140414064416|FKU-1A|||//4/18/2014 1:34:51 AM
CAD_U|CAFKU|MIR4|AIQ|20140408161630|FKU-2|||//4/18/2014 1:34:52 AM
CAD_U|CAFKU|MIR4|AIQ|20140408161630|FKU-2|||//4/18/2014 1:34:52 AM
CAD_U|CAFKU|MIR4|AIQ|20140408161630|FKU-2|||//4/18/2014 1:34:52 AM
CAD_E|CASLC14004624|CASLU|EMS3CDF/|20140418014157|OOA|OTH, ASSIST|-120.727177|35.320794|570 ADINA WAY||MARGIE PL|VILLAGE CT|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//4/18/2014 1:42:00 AM
CAD_E|CASLC14004624|CASLU|EMS3CDF/|20140418014157|OOA|OTH, ASSIST|-120.727177|35.320794|570 ADINA WAY||MARGIE PL|VILLAGE CT|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//4/18/2014 1:42:01 AM
CAD_E|CASLC14004624|CASLU|EMS3CDF/|20140418014157|OOA|OTH, ASSIST|-120.727177|35.320794|570 ADINA WAY||MARGIE PL|VILLAGE CT|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//4/18/2014 1:42:08 AM
CAD_E|CASLC14004624|CASLU|EMS3CDF/|20140418014157|OOA|OTH, ASSIST|-120.727177|35.320794|570 ADINA WAY||MARGIE PL|VILLAGE CT|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//4/18/2014 1:42:08 AM
CAD_E|CASLC14004624|CASLU|EMS3CDF/|20140418014157|OOA|OTH, ASSIST|-120.727177|35.320794|570 ADINA WAY||MARGIE PL|VILLAGE CT|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//4/18/2014 1:42:11 AM
CAD_E|CASLC14004624|CASLU|EMS3CDF/|20140418014157|OOA|OTH, ASSIST|-120.727177|35.320794|570 ADINA WAY||MARGIE PL|VILLAGE CT|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//4/18/2014 1:42:11 AM
CAD_E|CASLC14004624|CASLU|EMS3CDF/|20140418014157|OOA|OTH, ASSIST|-120.727177|35.320794|570 ADINA WAY||MARGIE PL|VILLAGE CT|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//4/18/2014 1:42:20 AM
CAD_E|CASLC14004624|CASLU|EMS3CDF/|20140418014157|OOA|OTH, ASSIST|-120.727177|35.320794|570 ADINA WAY||MARGIE PL|VILLAGE CT|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//4/18/2014 1:42:21 AM
CAD_E|CASLC14004624|CASLU|EMS3CDF/|20140418014157|OOA|OTH, ASSIST|-120.727177|35.320794|570 ADINA WAY||MARGIE PL|VILLAGE CT|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//4/18/2014 1:42:21 AM
CAD_E|CASLC14004624|CASLU|EMS3CDF/|20140418014157|MED|MEDICAL AID CODE 3|-120.477658|35.028724|570 ADINA WAY ||549 BLK VILLAGE CT|599 BLK MARGIE PL|633_B_5/633_B_5|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//4/18/2014 1:42:23 AM
CAD_E|CASLC14004624|CASLU2014003363|EMS3CDF/|20140418014157|MED|MEDICAL AID CODE 3|-120.477658|35.028724|570 ADINA WAY ||549 BLK VILLAGE CT|599 BLK MARGIE PL|633_B_5/633_B_5||||ME20|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//4/18/2014 1:42:31 AM
CAD_E|CASLC14004624|CASLU2014003363|EMS3CDF/|20140418014157|MED|MEDICAL AID CODE 3|-120.477658|35.028724|570 ADINA WAY ||549 BLK VILLAGE CT|599 BLK MARGIE PL|633_B_5/633_B_5||||ME20|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//4/18/2014 1:42:32 AM
CAD_U|CASLC|ME20|DSP|20140418014232|E-19B|14004624|MED|CASLU2014003363//4/18/2014 1:42:32 AM
CAD_E|CASLC14004624|CASLU2014003363|EMS3CDF/|20140418014157|MED|MEDICAL AID CODE 3|-120.477658|35.028724|570 ADINA WAY ||549 BLK VILLAGE CT|599 BLK MARGIE PL|633_B_5/633_B_5||||ME20|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//4/18/2014 1:44:28 AM
CAD_U|CASLC|ME20|ACK|20140418014428|E-19B|14004624|MED|CASLU2014003363//4/18/2014 1:44:28 AM
CAD_E|CASLC14004624|CASLU2014003363|EMS3CDF/|20140418014157|MED|MEDICAL AID CODE 3|-120.477658|35.028724|570 ADINA WAY ||549 BLK VILLAGE CT|599 BLK MARGIE PL|633_B_5/633_B_5||||ME20|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//4/18/2014 1:45:50 AM
CAD_U|CASLC|ME20|ENR|20140418014551|E-19B|14004624|MED|CASLU2014003363//4/18/2014 1:45:50 AM
CAD_U|CASLC|ME20|ENR|20140418014551|E-19B|14004624|MED|CASLU2014003363//4/18/2014 1:45:51 AM
CAD_E|CASLC14004624|CASLU2014003363|EMS3CDF/|20140418014157|MED|MEDICAL AID CODE 3|-120.477658|35.028724|570 ADINA WAY ||549 BLK VILLAGE CT|599 BLK MARGIE PL|633_B_5/633_B_5||||ME20|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//4/18/2014 1:49:26 AM
CAD_U|CASLC|ME20|ONS|20140418014926|E-19B|14004624|MED|CASLU2014003363//4/18/2014 1:49:26 AM
CAD_E|CASBY14004625|CASLU||20140418020915|PAO|PA, PUBLIC ASSIST|-120.855005|35.311744|2345 DEL NORTE ST |LOS_OSOS|230 BLK MONARCH LN|260 BLK MARIANELA LN|631_F_6|||||Command:BAY;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//4/18/2014 2:09:15 AM
CAD_E|CASBY14004625|CASLU||20140418020915|PAO|PA, PUBLIC ASSIST|-120.855005|35.311744|2345 DEL NORTE ST |LOS_OSOS|230 BLK MONARCH LN|260 BLK MARIANELA LN|631_F_6|||||Command:BAY;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//4/18/2014 2:09:16 AM
