CAD_U|CABEU|GAB3|AIQ|20130118071755|BEU-30|||//1/29/2013 12:48:20 AM
CAD_U|CABEU|GAB3|AIQ|20130118071755|BEU-30|||//1/29/2013 12:48:20 AM
CAD_U|CABEU|GAB6|AIQ|20130128075613|BEU-30|||//1/29/2013 12:48:21 AM
CAD_U|CABEU|GAB6|AIQ|20130128075613|BEU-30|||//1/29/2013 12:48:21 AM
CAD_U|CABEU|GAB6|AIQ|20130128075613|BEU-30|||//1/29/2013 12:48:21 AM
CAD_U|CAFKU|E4352|AIQ|20120913105950|FKU-2|||//1/29/2013 12:48:22 AM
CAD_U|CAFKU|E4352|AIQ|20120913105950|FKU-2|||//1/29/2013 12:48:22 AM
CAD_U|CAFKU|E4352|AIQ|20120913105950|FKU-2|||//1/29/2013 12:48:22 AM
CAD_U|CAFKU|E4353|AIQ|20121118072406|FKU-2|||//1/29/2013 12:48:23 AM
CAD_U|CAFKU|E4353|AIQ|20121118072406|FKU-2|||//1/29/2013 12:48:23 AM
CAD_U|CAFKU|E4353|AIQ|20121118072406|FKU-2|||//1/29/2013 12:48:23 AM
CAD_U|CAFKU|E4362|AIQ|20130126073458|FKU-2|||//1/29/2013 12:48:24 AM
CAD_U|CAFKU|E4362|AIQ|20130126073458|FKU-2|||//1/29/2013 12:48:24 AM
CAD_U|CAFKU|E4362|AIQ|20130126073458|FKU-2|||//1/29/2013 12:48:24 AM
CAD_U|CAFKU|E4391|AIQ|20130124090525|FKU-2|||//1/29/2013 12:48:25 AM
CAD_U|CAFKU|E4391|AIQ|20130124090525|FKU-2|||//1/29/2013 12:48:25 AM
CAD_U|CAFKU|E4391|AIQ|20130124090525|FKU-2|||//1/29/2013 12:48:25 AM
CAD_U|CAFKU|MIR1|AIQ|20130107084523|FKU-2|||//1/29/2013 12:48:26 AM
CAD_U|CAFKU|MIR1|AIQ|20130107084523|FKU-2|||//1/29/2013 12:48:27 AM
CAD_U|CAFKU|MIR1|AIQ|20130107084523|FKU-2|||//1/29/2013 12:48:27 AM
CAD_U|CAFKU|MIR2|AIQ|20130128162745|FKU-2|||//1/29/2013 12:48:28 AM
CAD_U|CAFKU|MIR2|AIQ|20130128162745|FKU-2|||//1/29/2013 12:48:28 AM
CAD_U|CAFKU|MIR2|AIQ|20130128162745|FKU-2|||//1/29/2013 12:48:28 AM
CAD_U|CAFKU|MIR3|AIQ|20130128162746|FKU-1A|||//1/29/2013 12:48:29 AM
CAD_U|CAFKU|MIR3|AIQ|20130128162746|FKU-1A|||//1/29/2013 12:48:29 AM
CAD_U|CAFKU|MIR3|AIQ|20130128162746|FKU-1A|||//1/29/2013 12:48:29 AM
CAD_U|CAFKU|MIR4|AIQ|20130128162747|FKU-2|||//1/29/2013 12:48:30 AM
CAD_U|CAFKU|MIR4|AIQ|20130128162747|FKU-2|||//1/29/2013 12:48:30 AM
CAD_U|CAFKU|MIR4|AIQ|20130128162747|FKU-2|||//1/29/2013 12:48:30 AM
CAD_U|CASLC|E43|ONS|20130129003136|C-7A|13000865|MED|CASLU2013000764//1/29/2013 12:51:41 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//1/29/2013 1:10:50 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//1/29/2013 1:10:50 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//1/29/2013 1:10:50 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//1/29/2013 1:10:52 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//1/29/2013 1:10:52 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//1/29/2013 1:10:52 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//1/29/2013 1:10:53 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//1/29/2013 1:10:53 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//1/29/2013 1:10:53 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//1/29/2013 1:10:54 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//1/29/2013 1:10:54 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//1/29/2013 1:10:54 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//1/29/2013 1:10:55 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//1/29/2013 1:10:55 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//1/29/2013 1:10:55 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//1/29/2013 1:10:56 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//1/29/2013 1:10:56 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//1/29/2013 1:10:56 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//1/29/2013 1:10:57 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//1/29/2013 1:10:57 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//1/29/2013 1:10:57 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//1/29/2013 1:10:58 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//1/29/2013 1:10:58 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//1/29/2013 1:10:58 AM
CAD_U|CAFKU|E4382|AIQ|20121217141623|FKU-2|||//1/29/2013 1:10:59 AM
CAD_U|CAFKU|E4382|AIQ|20121217141623|FKU-2|||//1/29/2013 1:10:59 AM
CAD_U|CAFKU|E4382|AIQ|20121217141623|FKU-2|||//1/29/2013 1:10:59 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//1/29/2013 1:11:01 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//1/29/2013 1:11:01 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//1/29/2013 1:11:01 AM
CAD_U|CAFKU|MIR1|AIQ|20120521091529|FKU-2|||//1/29/2013 1:11:02 AM
CAD_U|CAFKU|MIR1|AIQ|20120521091529|FKU-2|||//1/29/2013 1:11:02 AM
CAD_U|CAFKU|MIR1|AIQ|20120521091529|FKU-2|||//1/29/2013 1:11:02 AM
CAD_U|CAFKU|MIR2|AIQ|20120521091620|FKU-2|||//1/29/2013 1:11:03 AM
CAD_U|CAFKU|MIR2|AIQ|20120521091620|FKU-2|||//1/29/2013 1:11:03 AM
CAD_U|CAFKU|MIR2|AIQ|20120521091620|FKU-2|||//1/29/2013 1:11:03 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//1/29/2013 1:11:04 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//1/29/2013 1:11:04 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//1/29/2013 1:11:04 AM
CAD_U|CAFKU|MIR4|AIQ|20120521100646|FKU-2|||//1/29/2013 1:11:05 AM
CAD_U|CAFKU|MIR4|AIQ|20120521100646|FKU-2|||//1/29/2013 1:11:05 AM
CAD_U|CAFKU|MIR4|AIQ|20120521100646|FKU-2|||//1/29/2013 1:11:05 AM
CAD_E|CASLC13000865//1/29/2013 1:12:06 AM
CAD_U|CASLC|E43|AIQ|20130129011206|C-7A|||//1/29/2013 1:12:06 AM
CAD_U|CABEU|D4641|AIQ|20130128073745|BEU-30|||//1/29/2013 1:38:14 AM
CAD_U|CABEU|D4641|AIQ|20130128073745|BEU-30|||//1/29/2013 1:38:14 AM
CAD_U|CABEU|D4641|AIQ|20130128073745|BEU-30|||//1/29/2013 1:38:14 AM
CAD_U|CABEU|D4645|AIQ|20130127074514|BEU-30|||//1/29/2013 1:38:15 AM
CAD_U|CABEU|D4645|AIQ|20130127074514|BEU-30|||//1/29/2013 1:38:15 AM
CAD_U|CABEU|D4645|AIQ|20130127074514|BEU-30|||//1/29/2013 1:38:15 AM
CAD_U|CABEU|E4663|AIQ|20121013213447|BEU-30|||//1/29/2013 1:38:16 AM
CAD_U|CABEU|E4663|AIQ|20121013213447|BEU-30|||//1/29/2013 1:38:16 AM
CAD_U|CABEU|E4663|AIQ|20121013213447|BEU-30|||//1/29/2013 1:38:16 AM
CAD_U|CABEU|E4677|AIQ|20121211160744|BEU-30|||//1/29/2013 1:38:17 AM
CAD_U|CABEU|E4677|AIQ|20121211160744|BEU-30|||//1/29/2013 1:38:17 AM
CAD_U|CABEU|E4677|AIQ|20121211160744|BEU-30|||//1/29/2013 1:38:17 AM
CAD_U|CABEU|E4681|AIQ|20130128102444|BEU-30|||//1/29/2013 1:38:18 AM
CAD_U|CABEU|E4681|AIQ|20130128102444|BEU-30|||//1/29/2013 1:38:18 AM
CAD_U|CABEU|E4681|AIQ|20130128102444|BEU-30|||//1/29/2013 1:38:18 AM
CAD_U|CABEU|E4684|AIQ|20130128074833|BEU-35|||//1/29/2013 1:38:19 AM
CAD_U|CABEU|E4684|AIQ|20130128074833|BEU-35|||//1/29/2013 1:38:19 AM
CAD_U|CABEU|E4684|AIQ|20130128074833|BEU-35|||//1/29/2013 1:38:19 AM
CAD_U|CABEU|E4691|AIQ|20130111124344|BEU-30|||//1/29/2013 1:38:20 AM
CAD_U|CABEU|E4691|AIQ|20130111124344|BEU-30|||//1/29/2013 1:38:20 AM
CAD_U|CABEU|E4691|AIQ|20130111124344|BEU-30|||//1/29/2013 1:38:20 AM
CAD_U|CABEU|GAB1|AIQ|20130128075233|BEU-30|||//1/29/2013 1:38:21 AM
CAD_U|CABEU|GAB1|AIQ|20130128075233|BEU-30|||//1/29/2013 1:38:21 AM
CAD_U|CABEU|GAB1|AIQ|20130128075233|BEU-30|||//1/29/2013 1:38:21 AM
CAD_U|CABEU|GAB2|AIQ|20130128075340|BEU-30|||//1/29/2013 1:38:23 AM
CAD_U|CABEU|GAB2|AIQ|20130128075340|BEU-30|||//1/29/2013 1:38:23 AM
CAD_U|CABEU|GAB2|AIQ|20130128075340|BEU-30|||//1/29/2013 1:38:23 AM
CAD_U|CABEU|GAB3|AIQ|20130118071755|BEU-30|||//1/29/2013 1:38:24 AM
CAD_U|CABEU|GAB3|AIQ|20130118071755|BEU-30|||//1/29/2013 1:38:24 AM
CAD_U|CABEU|GAB3|AIQ|20130118071755|BEU-30|||//1/29/2013 1:38:24 AM
CAD_U|CABEU|GAB6|AIQ|20130128075613|BEU-30|||//1/29/2013 1:38:25 AM
CAD_U|CABEU|GAB6|AIQ|20130128075613|BEU-30|||//1/29/2013 1:38:25 AM
CAD_U|CABEU|GAB6|AIQ|20130128075613|BEU-30|||//1/29/2013 1:38:25 AM
CAD_U|CAFKU|E4352|AIQ|20120913105950|FKU-2|||//1/29/2013 1:38:26 AM
CAD_U|CAFKU|E4352|AIQ|20120913105950|FKU-2|||//1/29/2013 1:38:26 AM
CAD_U|CAFKU|E4352|AIQ|20120913105950|FKU-2|||//1/29/2013 1:38:26 AM
CAD_U|CAFKU|E4353|AIQ|20121118072406|FKU-2|||//1/29/2013 1:38:27 AM
CAD_U|CAFKU|E4353|AIQ|20121118072406|FKU-2|||//1/29/2013 1:38:27 AM
CAD_U|CAFKU|E4353|AIQ|20121118072406|FKU-2|||//1/29/2013 1:38:27 AM
CAD_U|CAFKU|E4362|AIQ|20130126073458|FKU-2|||//1/29/2013 1:38:28 AM
CAD_U|CAFKU|E4362|AIQ|20130126073458|FKU-2|||//1/29/2013 1:38:28 AM
CAD_U|CAFKU|E4362|AIQ|20130126073458|FKU-2|||//1/29/2013 1:38:28 AM
