CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:21 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:21 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:21 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:21 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:22 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:22 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|MED|MEDICAL AID CODE 3|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST| UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:27 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|MED|MEDICAL AID CODE 3|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST| UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:27 AM
CAD_E|CACMB16008613|CASLU2016006299|EMS3CDF/|20160613011801|MED|MEDICAL AID CODE 3|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST| UNNAMED RD|528_D_5||||ME5791,E3466|Command:BAY CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:37 AM
CAD_E|CACMB16008613|CASLU2016006299|EMS3CDF/|20160613011801|MED|MEDICAL AID CODE 3|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST| UNNAMED RD|528_D_5||||ME5791,E3466|Command:BAY CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:37 AM
CAD_U|CACMB|ME5791|DSP|20160613011836|G-16B|16008613|MED|CASLU2016006299//6/13/2016 1:18:37 AM
CAD_U|CASLU|E3466|DSP|20160613011836|G-16A|16008613|MED|CASLU2016006299//6/13/2016 1:18:37 AM
