CAD_U|CAFKU|E4368|AIQ|20130802175820|FKU-2|||//8/7/2013 12:08:39 AM
CAD_U|CAFKU|E4370|AIQ|20130806082302|FKU-1A|||//8/7/2013 12:08:41 AM
CAD_U|CAFKU|E4370|AIQ|20130806082302|FKU-1A|||//8/7/2013 12:08:41 AM
CAD_U|CAFKU|E4370|AIQ|20130806082302|FKU-1A|||//8/7/2013 12:08:41 AM
CAD_U|CABEU|GAB1|AIQ|20130806072841|BEU-30|||//8/7/2013 12:08:42 AM
CAD_U|CABEU|GAB1|AIQ|20130806072841|BEU-30|||//8/7/2013 12:08:42 AM
CAD_U|CABEU|GAB1|AIQ|20130806072841|BEU-30|||//8/7/2013 12:08:42 AM
CAD_U|CABEU|GAB4|AIQ|20130806072959|BEU-30|||//8/7/2013 12:08:43 AM
CAD_U|CABEU|GAB4|AIQ|20130806072959|BEU-30|||//8/7/2013 12:08:43 AM
CAD_U|CABEU|GAB4|AIQ|20130806072959|BEU-30|||//8/7/2013 12:08:43 AM
CAD_U|CABEU|GAB5|AIQ|20130805072538|BEU-30|||//8/7/2013 12:08:44 AM
CAD_U|CABEU|GAB5|AIQ|20130805072538|BEU-30|||//8/7/2013 12:08:44 AM
CAD_U|CABEU|GAB5|AIQ|20130805072538|BEU-30|||//8/7/2013 12:08:44 AM
CAD_U|CABEU|GAB6|AIQ|20130805072635|BEU-30|||//8/7/2013 12:08:45 AM
CAD_U|CABEU|GAB6|AIQ|20130805072635|BEU-30|||//8/7/2013 12:08:45 AM
CAD_U|CABEU|GAB6|AIQ|20130805072635|BEU-30|||//8/7/2013 12:08:45 AM
CAD_U|CABEU|HLT406|AIQ|20130708071726|BEU-30|||//8/7/2013 12:08:46 AM
CAD_U|CABEU|HLT406|AIQ|20130708071726|BEU-30|||//8/7/2013 12:08:46 AM
CAD_U|CABEU|HLT406|AIQ|20130708071726|BEU-30|||//8/7/2013 12:08:46 AM
CAD_U|CACDF|T80|AIQ|20130804160253|HAAB|||//8/7/2013 12:08:47 AM
CAD_U|CACDF|T80|AIQ|20130804160253|HAAB|||//8/7/2013 12:08:47 AM
CAD_U|CACDF|T80|AIQ|20130804160253|HAAB|||//8/7/2013 12:08:47 AM
CAD_U|CACDF|T81|AIQ|20130804160505|HAAB|||//8/7/2013 12:08:48 AM
CAD_U|CACDF|T81|AIQ|20130804160505|HAAB|||//8/7/2013 12:08:48 AM
CAD_U|CACDF|T81|AIQ|20130804160505|HAAB|||//8/7/2013 12:08:48 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//8/7/2013 12:08:49 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//8/7/2013 12:08:49 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//8/7/2013 12:08:50 AM
CAD_U|CAFKU|E4373|AIQ|20130502115114|FKU-2|||//8/7/2013 12:08:51 AM
CAD_U|CAFKU|E4373|AIQ|20130502115114|FKU-2|||//8/7/2013 12:08:51 AM
CAD_U|CAFKU|E4373|AIQ|20130502115114|FKU-2|||//8/7/2013 12:08:51 AM
CAD_U|CAFKU|E4382|AIQ|20130513073315|FKU-2|||//8/7/2013 12:08:52 AM
CAD_U|CAFKU|E4382|AIQ|20130513073315|FKU-2|||//8/7/2013 12:08:52 AM
CAD_U|CAFKU|E4382|AIQ|20130513073315|FKU-2|||//8/7/2013 12:08:52 AM
CAD_U|CAFKU|E4383|AIQ|20130426105004|FKU-1A|||//8/7/2013 12:08:53 AM
CAD_U|CAFKU|E4383|AIQ|20130426105004|FKU-1A|||//8/7/2013 12:08:53 AM
CAD_U|CAFKU|E4383|AIQ|20130426105004|FKU-1A|||//8/7/2013 12:08:53 AM
CAD_U|CAFKU|MIR1|AIQ|20130427085744|FKU-2|||//8/7/2013 12:08:54 AM
CAD_U|CAFKU|MIR1|AIQ|20130427085744|FKU-2|||//8/7/2013 12:08:54 AM
CAD_U|CAFKU|MIR1|AIQ|20130427085744|FKU-2|||//8/7/2013 12:08:54 AM
CAD_U|CAFKU|MIR2|AIQ|20130805124940|FKU-2|||//8/7/2013 12:08:55 AM
CAD_U|CAFKU|MIR2|AIQ|20130805124940|FKU-2|||//8/7/2013 12:08:55 AM
CAD_U|CAFKU|MIR2|AIQ|20130805124940|FKU-2|||//8/7/2013 12:08:55 AM
CAD_U|CAFKU|MIR3|AIQ|20130805124948|FKU-1A|||//8/7/2013 12:08:56 AM
CAD_U|CAFKU|MIR3|AIQ|20130805124948|FKU-1A|||//8/7/2013 12:08:56 AM
CAD_U|CAFKU|MIR3|AIQ|20130805124948|FKU-1A|||//8/7/2013 12:08:56 AM
CAD_E|CACAY13007631|CASLU2013006294|PACIFIC AVE  CAY|20130807000349|PAO|PA, PUBLIC ASSIST|-120.889816|35.436477|2098 PACIFIC AVE |CAY|34 BLK 20TH ST|1 BLK 21ST ST|591_B_3||||ECAY,E3469,5628|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//8/7/2013 12:08:57 AM
CAD_U|CACAY|5628|ONS|20130807000858|B-7B|13007631|PAO|CASLU2013006294//8/7/2013 12:08:57 AM
CAD_U|CAFKU|MIR4|AIQ|20130715082939|FKU-2|||//8/7/2013 12:08:57 AM
CAD_U|CAFKU|MIR4|AIQ|20130715082939|FKU-2|||//8/7/2013 12:08:57 AM
CAD_U|CAFKU|MIR4|AIQ|20130715082939|FKU-2|||//8/7/2013 12:08:57 AM
CAD_E|CACAY13007631|CASLU2013006294|PACIFIC AVE  CAY|20130807000349|PAO|PA, PUBLIC ASSIST|-120.889816|35.436477|2098 PACIFIC AVE |CAY|34 BLK 20TH ST|1 BLK 21ST ST|591_B_3||||E3469,5628|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//8/7/2013 12:09:21 AM
CAD_U|CACAY|ECAY|AIQ|20130807000921|B-7B|||//8/7/2013 12:09:21 AM
CAD_U|CASLU|E3469|RTQ|20130807001001|B-7A|13007631|PAO|CASLU2013006294//8/7/2013 12:10:01 AM
CAD_E|CACAY13007631|CASLU2013006294|PACIFIC AVE  CAY|20130807000349|PAO|PA, PUBLIC ASSIST|-120.889816|35.436477|2098 PACIFIC AVE |CAY|34 BLK 20TH ST|1 BLK 21ST ST|591_B_3||||5628|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//8/7/2013 12:10:25 AM
CAD_U|CASLU|E3469|AIQ|20130807001025|B-7A|||//8/7/2013 12:10:25 AM
CAD_E|CASLU13007630|CASLU2013006293|CREEK|20130806224619|FSC|FIRE, COMMERCIAL|-120.592908|35.244190|4736 BRIDGE CREEK RD |SLO_CO| DEAD-END|5100 BLK MALLARD WAY|674_H_2||||B3416,E21,E64,E3483,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical:VFIRE23;Air-to-Ground:CDF A/G;//8/7/2013 12:15:47 AM
CAD_E|CASLU13007630|CASLU2013006293|CREEK|20130806224619|FSC|FIRE, COMMERCIAL|-120.592908|35.244190|4736 BRIDGE CREEK RD |SLO_CO| DEAD-END|5100 BLK MALLARD WAY|674_H_2||||B3416,E21,E64,E3483,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical:VFIRE23;Air-to-Ground:CDF A/G;//8/7/2013 12:15:47 AM
CAD_E|CASLU13007630|CASLU2013006293|CREEK|20130806224619|FSC|FIRE, COMMERCIAL|-120.592908|35.244190|4736 BRIDGE CREEK RD |SLO_CO| DEAD-END|5100 BLK MALLARD WAY|674_H_2||||B3416,E21,E64,E3483,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical:VFIRE23;Air-to-Ground:CDF A/G;//8/7/2013 12:15:54 AM
CAD_U|CAPSM|E64|AOS|20130807001554|A-32M|13007630|FSC|CASLU2013006293//8/7/2013 12:15:54 AM
CAD_E|CASLU13007630|CASLU2013006293|CREEK|20130806224619|FSC|FIRE, COMMERCIAL|-120.592908|35.244190|4736 BRIDGE CREEK RD |SLO_CO| DEAD-END|5100 BLK MALLARD WAY|674_H_2||||B3416,E21,E64,E3483,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical:VFIRE23;Air-to-Ground:CDF A/G;//8/7/2013 12:15:55 AM
CAD_U|CASLU|E3483|AOS|20130807001556|A-36B|13007630|FSC|CASLU2013006293//8/7/2013 12:15:55 AM
CAD_E|CACAY13007631|CASLU2013006294|PACIFIC AVE  CAY|20130807000349|PAO|PA, PUBLIC ASSIST|-120.889816|35.436477|2098 PACIFIC AVE |CAY|34 BLK 20TH ST|1 BLK 21ST ST|591_B_3||||5628|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//8/7/2013 12:16:07 AM
CAD_E|CACMB13007632|CASLU|EMS3CDF/|20130807001536|OOA|OTH, ASSIST|-121.102207|35.564066|541 DORSET ST |CAMBRIA|5200 BLK PEMBROOK DR|5200 BLK GUILDFORD DR|528_E_6|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//8/7/2013 12:16:25 AM
CAD_E|CACMB13007632|CASLU|EMS3CDF/|20130807001536|OOA|OTH, ASSIST|-121.102207|35.564066|541 DORSET ST |CAMBRIA|5200 BLK PEMBROOK DR|5200 BLK GUILDFORD DR|528_E_6|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//8/7/2013 12:16:26 AM
CAD_E|CACAY13007631//8/7/2013 12:16:33 AM
CAD_U|CACAY|5628|OFF//8/7/2013 12:16:33 AM
CAD_E|CACMB13007632|CASLU|EMS3CDF/|20130807001536|OOA|OTH, ASSIST|-121.102207|35.564066|541 DORSET ST |CAMBRIA|5200 BLK PEMBROOK DR|5200 BLK GUILDFORD DR|528_E_6|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//8/7/2013 12:16:34 AM
CAD_E|CACMB13007632|CASLU|EMS3CDF/|20130807001536|OOA|OTH, ASSIST|-121.102207|35.564066|541 DORSET ST |CAMBRIA|5200 BLK PEMBROOK DR|5200 BLK GUILDFORD DR|528_E_6|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//8/7/2013 12:16:34 AM
CAD_E|CACMB13007632|CASLU|EMS3CDF/|20130807001536|MED|MEDICAL AID CODE 3|-121.102207|35.564066|541 DORSET ST |CAMBRIA|5200 BLK PEMBROOK DR|5200 BLK GUILDFORD DR|528_E_6|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//8/7/2013 12:16:44 AM
CAD_E|CACAY13007631//8/7/2013 12:16:47 AM
CAD_E|CACMB13007632|CASLU2013006295|EMS3CDF/|20130807001536|MED|MEDICAL AID CODE 3|-121.102207|35.564066|541 DORSET ST |CAMBRIA|5200 BLK PEMBROOK DR|5200 BLK GUILDFORD DR|528_E_6||||E5791,E3466|Command:BAY;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground: ;//8/7/2013 12:16:58 AM
CAD_E|CACMB13007632|CASLU2013006295|EMS3CDF/|20130807001536|MED|MEDICAL AID CODE 3|-121.102207|35.564066|541 DORSET ST |CAMBRIA|5200 BLK PEMBROOK DR|5200 BLK GUILDFORD DR|528_E_6||||E5791,E3466|Command:BAY;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground: ;//8/7/2013 12:16:58 AM
CAD_U|CACMB|E5791|DSP|20130807001658|G-16B|13007632|MED|CASLU2013006295//8/7/2013 12:16:58 AM
CAD_U|CASLU|E3466|DSP|20130807001658|G-16A|13007632|MED|CASLU2013006295//8/7/2013 12:16:58 AM
CAD_U|CASLU|E3466|DSP|20130807001658|G-16A|13007632|MED|CASLU2013006295//8/7/2013 12:19:02 AM
CAD_U|CACMB|E5791|DSP|20130807001658|G-16B|13007632|MED|CASLU2013006295//8/7/2013 12:19:02 AM
CAD_E|CACMB13007632|CASLU2013006295|EMS3CDF/|20130807001536|MED|MEDICAL AID CODE 3|-121.102207|35.564066|541 DORSET ST |CAMBRIA|5200 BLK PEMBROOK DR|5200 BLK GUILDFORD DR|528_E_6||||E5791,E3466|Command:BAY;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground: ;//8/7/2013 12:19:28 AM
CAD_U|CACMB|E5791|ENR|20130807001928|G-16B|13007632|MED|CASLU2013006295//8/7/2013 12:19:28 AM
CAD_U|CACMB|E5791|ENR|20130807001928|G-16B|13007632|MED|CASLU2013006295//8/7/2013 12:19:28 AM
CAD_U|CASLU|E3466|ENR|20130807001954|G-16A|13007632|MED|CASLU2013006295//8/7/2013 12:19:54 AM
CAD_U|CASLU|E3466|ENR|20130807001954|G-16A|13007632|MED|CASLU2013006295//8/7/2013 12:19:54 AM
CAD_U|CAPSM|E64|RTQ|20130807002250|A-32M|13007630|FSC|CASLU2013006293//8/7/2013 12:22:49 AM
CAD_E|CACMB13007632|CASLU2013006295|EMS3CDF/|20130807001536|MED|MEDICAL AID CODE 3|-121.102207|35.564066|541 DORSET ST |CAMBRIA|5200 BLK PEMBROOK DR|5200 BLK GUILDFORD DR|528_E_6||||E5791,E3466|Command:BAY;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground: ;//8/7/2013 12:25:15 AM
CAD_U|CACMB|E5791|ONS|20130807002515|G-16B|13007632|MED|CASLU2013006295//8/7/2013 12:25:15 AM
CAD_U|CASLU|E3466|ONS|20130807002621|G-16A|13007632|MED|CASLU2013006295//8/7/2013 12:26:20 AM
